Term,Score,Acronym,Ontology,Term_URI
"physical state",19.27,"NCIT","http://bioportal.bioontology.org/ontologies/NCIT","http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73487"
"physical state",6.1,"NPO","http://bioportal.bioontology.org/ontologies/NPO","http://purl.bioontology.org/ontology/npo#NPO_888"
"physical state",3.03,"CRISP","http://bioportal.bioontology.org/ontologies/CRISP","http://purl.bioontology.org/ontology/CSP/4000-0293"
"physical state",2.44,"EP","http://bioportal.bioontology.org/ontologies/EP","http://purl.org/obo/owl/FMA#FMA_85812"
"physical state",2.44,"FMA","http://bioportal.bioontology.org/ontologies/FMA","http://sig.uw.edu/fma#Physical_state"
"physical state",2.28,"BIOMODELS","http://bioportal.bioontology.org/ontologies/BIOMODELS","http://purl.org/obo/owlapi/fma#FMA_85812"
"particle concentration",18.9,"NPO","http://bioportal.bioontology.org/ontologies/NPO","http://purl.bioontology.org/ontology/npo#NPO_1830"
"particle concentration",14.12,"OPB","http://bioportal.bioontology.org/ontologies/OPB","http://bhi.washington.edu/OPB#OPB01000"
"medium",8.74,"SEP","http://bioportal.bioontology.org/ontologies/SEP","http://purl.obolibrary.org/obo/sep_00037"
"medium",8.5,"BCGO","http://bioportal.bioontology.org/ontologies/BCGO","http://www.owl-ontologies.com/Ontology1239104585.owl#Medium"
"medium",8.3,"MCCV","http://bioportal.bioontology.org/ontologies/MCCV","http://purl.jp/bio/01/gmo#Medium"
"medium",8.15,"NCIT","http://bioportal.bioontology.org/ontologies/NCIT","http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48164"
"medium",4.88,"NPO","http://bioportal.bioontology.org/ontologies/NPO","http://purl.bioontology.org/ontology/npo#NPO_1853"
"medium",4.24,"PHARE","http://bioportal.bioontology.org/ontologies/PHARE","http://www.stanford.edu/~coulet/phare.owl#DrugMedia"
"medium",3.89,"RCD","http://bioportal.bioontology.org/ontologies/RCD","http://purl.bioontology.org/ontology/RCD/X791A"
"medium",3.86,"RADLEX","http://bioportal.bioontology.org/ontologies/RADLEX","http://www.owl-ontologies.com/RADLEX.owl#RID5775"
"medium",3.61,"HL7","http://bioportal.bioontology.org/ontologies/HL7","http://purl.bioontology.org/ontology/HL7/C1561547"
"medium",3.28,"SWEET","http://bioportal.bioontology.org/ontologies/SWEET","http://sweet.jpl.nasa.gov/2.3/matr.owl#Medium"
"medium",3.21,"SNOMEDCT","http://bioportal.bioontology.org/ontologies/SNOMEDCT","http://purl.bioontology.org/ontology/SNOMEDCT/255508009"
"medium",2.9,"DCM","http://bioportal.bioontology.org/ontologies/DCM","http://dicom.nema.org/resources/ontology/DCM/111576"
"medium",2.7,"AURA","http://bioportal.bioontology.org/ontologies/AURA","http://www.projecthalo.com/aura#Medium"
"nanoparticle",6.1,"NPO","http://bioportal.bioontology.org/ontologies/NPO","http://purl.bioontology.org/ontology/npo#NPO_707"
"nanoparticle",5.77,"HUPSON","http://bioportal.bioontology.org/ontologies/HUPSON","http://purl.obolibrary.org/obo/CHEBI_50803"
"nanoparticle",5.57,"MESH","http://bioportal.bioontology.org/ontologies/MESH","http://purl.bioontology.org/ontology/MESH/D053758"
"nanoparticle",3.86,"CHEBI","http://bioportal.bioontology.org/ontologies/CHEBI","http://purl.obolibrary.org/obo/CHEBI_50803"
"nanoparticle",3.79,"BIOMODELS","http://bioportal.bioontology.org/ontologies/BIOMODELS","http://purl.obolibrary.org/obo/CHEBI_50803"
"nanoparticle",2.78,"NCIT","http://bioportal.bioontology.org/ontologies/NCIT","http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62308"
"experiment",9,"GFO-BIO","http://bioportal.bioontology.org/ontologies/GFO-BIO","http://onto.eva.mpg.de/ontologies/gfo-bio.owl#Experiment"
"experiment",8.76,"CSEO","http://bioportal.bioontology.org/ontologies/CSEO","http://mged.sourceforge.net/ontologies/MGEDOntology.owl#Experiment"
"experiment",7.82,"CPTAC","http://bioportal.bioontology.org/ontologies/CPTAC","http://proteomeontology.org/cpo.owl#Experiment"
"experiment",6.75,"MO","http://bioportal.bioontology.org/ontologies/MO","http://mged.sourceforge.net/ontologies/MGEDOntology.owl#Experiment"
"experiment",6.16,"ACGT-MO","http://bioportal.bioontology.org/ontologies/ACGT-MO","http://www.ifomis.org/acgt/1.0#Experiment"
"experiment",6.1,"NPO","http://bioportal.bioontology.org/ontologies/NPO","http://purl.bioontology.org/ontology/npo#NPO_1407"
"experiment",5.71,"SIO","http://bioportal.bioontology.org/ontologies/SIO","http://semanticscience.org/resource/SIO_000994"
"experiment",5.36,"NCIT","http://bioportal.bioontology.org/ontologies/NCIT","http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42790"
"experiment",5.06,"BIRNLEX","http://bioportal.bioontology.org/ontologies/BIRNLEX","http://bioontology.org/projects/ontologies/birnlex#birnlex_2117"
"experiment",4.92,"SWEET","http://bioportal.bioontology.org/ontologies/SWEET","http://sweet.jpl.nasa.gov/2.3/humanResearch.owl#Experiment"
"experiment",4.58,"GALEN","http://bioportal.bioontology.org/ontologies/GALEN","http://www.co-ode.org/ontologies/galen#Experiment"
"experiment",4.51,"AURA","http://bioportal.bioontology.org/ontologies/AURA","http://www.projecthalo.com/aura#Experiment"
"experiment",3.98,"ONTOAD","http://bioportal.bioontology.org/ontologies/ONTOAD","http://doe-generated-ontology.com/OntoAD#C0681814"
"experiment",3.85,"SYN","http://bioportal.bioontology.org/ontologies/SYN","http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Experiment"
"experiment",3.57,"NIFSTD","http://bioportal.bioontology.org/ontologies/NIFSTD","http://ontology.neuinfo.org/NIF/DigitalEntities/NIF-Investigation.owl#birnlex_2117"
"experiment",2.64,"EFO","http://bioportal.bioontology.org/ontologies/EFO","http://www.ebi.ac.uk/efo/EFO_0002694"
