Term	Score	Acronym	Ontology	ID	Notation	Description	Synonyms
"sirolimus"	8.16	"MESH"	"http://bioportal.bioontology.org/ontologies/MESH"	"http://purl.bioontology.org/ontology/MESH/D020123"	"D020123"	"A macrolide compound obtained from Streptomyces hygroscopicus that acts by selectively blocking the transcriptional activation of cytokines thereby inhibiting cytokine production. It is bioactive only when bound to IMMUNOPHILINS. Sirolimus is a potent immunosuppressant and possesses both antifungal and antineoplastic properties."	"AY 22-989|I2190A|Wyeth Brand of Sirolimus|I 2190A|I-2190A|Rapamune|AY 22989|Rapamycin|AY 22 989"
"sirolimus"	7.94	"CHEBI"	"http://bioportal.bioontology.org/ontologies/CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_9168"	"CHEBI:9168"	"N/A"	"(3S,6R,7E,9R,10R,12R,14S,15E,17E,19E,21S,23S,26R,27R,34aS)-9,27-dihydroxy-3-{(2R)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl}-10,21-dimethoxy-6,8,12,14,20,26-hexamethyl-9,10,12,13,14,21,22,23,24,25,26,27,32,33,34,34a-hexadecahydro-3H-23,27-epoxypyrido[2,1-c][1,4]oxazacyclohentriacontine-1,5,11,28,29(4H,6H,31H)-pentone|Sirolimus"
"sirolimus"	7.5	"SNOMEDCT"	"http://bioportal.bioontology.org/ontologies/SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/116109004"	"116109004"	"N/A"	"Sirolimus (product)|Rapamycin"
"sirolimus"	7.1	"NDFRT"	"http://bioportal.bioontology.org/ontologies/NDFRT"	"http://purl.bioontology.org/ontology/NDFRT/N0000148624"	"N0000148624"	"N/A"	"N/A"
"sirolimus"	6.2	"RH-MESH"	"http://bioportal.bioontology.org/ontologies/RH-MESH"	"http://phenomebrowser.net/ontologies/mesh/mesh.owl#D020123"	"N/A"	"N/A"	"N/A"
"sirolimus"	5.37	"LOINC"	"http://bioportal.bioontology.org/ontologies/LOINC"	"http://purl.bioontology.org/ontology/LNC/LP21368-3"	"LP21368-3"	"N/A"	"N/A"
"sirolimus"	4.55	"CRISP"	"http://bioportal.bioontology.org/ontologies/CRISP"	"http://purl.bioontology.org/ontology/CSP/4005-0055"	"4005-0055"	"novel immunosuppressive drug used in transplantation; may inhibit receptor mediated activation of mast cells."	"SDZ RAD|rapamycin"
"sirolimus"	3.89	"CPT"	"http://bioportal.bioontology.org/ontologies/CPT"	"http://purl.bioontology.org/ontology/CPT/80195"	"80195"	"N/A"	"DRUG SCREEN QUANTITATIVE SIROLIMUS|Measurement of sirolimus|Sirolimus level"
"sirolimus"	3.58	"DRON"	"http://bioportal.bioontology.org/ontologies/DRON"	"http://purl.obolibrary.org/obo/dron#DRON_00013476"	"N/A"	"N/A"	"N/A"
"sirolimus"	3.11	"EFO"	"http://bioportal.bioontology.org/ontologies/EFO"	"http://purl.obolibrary.org/obo/CHEBI_9168"	"N/A"	"N/A"	"C51H79NO13|(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-dihydroxy-12-{(2S)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl}-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.0(4,9)]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone|Rapamune|Sirolimus|Antibiotic AY 22989|(-)-Rapamycin"
"sirolimus"	2.57	"PDQ"	"http://bioportal.bioontology.org/ontologies/PDQ"	"http://purl.bioontology.org/ontology/PDQ/CDR0000042555"	"CDR0000042555"	"A natural macrocyclic lactone produced by the bacterium Streptomyces hygroscopicus, with immunosuppressant properties. In cells, sirolimus binds to the immunophilin FK Binding Protein-12 (FKBP-12) to generate an immunosuppressive complex that binds to and inhibits the activation of the mammalian Target Of Rapamycin (mTOR), a key regulatory kinase. This results in inhibition of T lymphocyte activation and proliferation that occurs in response to antigenic and cytokine (IL-2, IL-4, and IL-15) stimulation and inhibition of antibody production. Check for \"http://www.cancer.gov/Search/ClinicalTrialsLink.aspx?id=42555&idtype=1\" active clinical trials or \"http://www.cancer.gov/Search/ClinicalTrialsLink.aspx?id=42555&idtype=1&closed=1\" closed clinical trials using this agent. (\"http://nciterms.nci.nih.gov:80/NCIBrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C1212\" NCI Thesaurus)"	"9,10,12,13,14,21,22,23,24,25,26,27,32,33,34,34a-Hexadecahydro-9,27-dihydroxy-3-((1R)-2-((1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl)-1-methylethyl)-10,21-dimethoxy-6,8,12,14,20,26-hexamethyl-23,27-epoxy-3H-pyrido(2,1-c)(1,4)oxaazacyclohentriacontine-1,5,11,2|Rapamune|RAPA|AY 22989|WY-090217|rapamycin|SILA 9268A|SLM"
"sirolimus"	2.28	"VANDF"	"http://bioportal.bioontology.org/ontologies/VANDF"	"http://purl.bioontology.org/ontology/VANDF/4021176"	"4021176"	"N/A"	"N/A"
"sirolimus"	2.26	"NDDF"	"http://bioportal.bioontology.org/ontologies/NDDF"	"http://purl.bioontology.org/ontology/NDDF/007885"	"007885"	"N/A"	"N/A"
"sirolimus"	1.97	"RXNORM"	"http://bioportal.bioontology.org/ontologies/RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/35302"	"35302"	"N/A"	"N/A"
"experiment"	9	"GFO-BIO"	"http://bioportal.bioontology.org/ontologies/GFO-BIO"	"http://onto.eva.mpg.de/ontologies/gfo-bio.owl#Experiment"	"N/A"	"N/A"	"N/A"
"experiment"	7.82	"CPTAC"	"http://bioportal.bioontology.org/ontologies/CPTAC"	"http://proteomeontology.org/cpo.owl#Experiment"	"N/A"	"N/A"	"N/A"
"experiment"	7.44	"CSEO"	"http://bioportal.bioontology.org/ontologies/CSEO"	"http://scai.fraunhofer.de/CSEO#CSEO_00001358"	"N/A"	"N/A"	"N/A"
"experiment"	6.75	"MO"	"http://bioportal.bioontology.org/ontologies/MO"	"http://mged.sourceforge.net/ontologies/MGEDOntology.owl#Experiment"	"N/A"	"The complete set of bioassays (hybridizations) and their descriptions performed as an experiment for a common purpose. Here we take experiment to mean an observational or perturbing study. An experiment will be often equivalent to a publication."	"N/A"
"experiment"	6.16	"ACGT-MO"	"http://bioportal.bioontology.org/ontologies/ACGT-MO"	"http://www.ifomis.org/acgt/1.0#Experiment"	"N/A"	"N/A"	"N/A"
"experiment"	6.1	"NPO"	"http://bioportal.bioontology.org/ontologies/NPO"	"http://purl.bioontology.org/ontology/npo#NPO_1407"	"N/A"	"<ncicp:ComplexDefinition><ncicp:def-definition>A scientific procedure which is a process of conducting a test under controlled conditions to make a discovery, test a hypothesis, or demonstrate a known fact.</ncicp:def-definition></ncicp:ComplexDefinition>"	"N/A"
"experiment"	5.71	"SIO"	"http://bioportal.bioontology.org/ontologies/SIO"	"http://semanticscience.org/resource/SIO_000994"	"N/A"	"An experiment is an investigation that has the goal of verifying, falsifying, or establishing the validity of a hypothesis."	"N/A"
"experiment"	5.06	"BIRNLEX"	"http://bioportal.bioontology.org/ontologies/BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2117"	"N/A"	"N/A"	"N/A"
"experiment"	4.92	"SWEET"	"http://bioportal.bioontology.org/ontologies/SWEET"	"http://sweet.jpl.nasa.gov/2.3/humanResearch.owl#Experiment"	"N/A"	"N/A"	"N/A"
"experiment"	4.58	"GALEN"	"http://bioportal.bioontology.org/ontologies/GALEN"	"http://www.co-ode.org/ontologies/galen#Experiment"	"N/A"	"N/A"	"N/A"
"experiment"	4.51	"AURA"	"http://bioportal.bioontology.org/ontologies/AURA"	"http://www.projecthalo.com/aura#Experiment"	"N/A"	"N/A"	"N/A"
"experiment"	3.98	"ONTOAD"	"http://bioportal.bioontology.org/ontologies/ONTOAD"	"http://doe-generated-ontology.com/OntoAD#C0681814"	"N/A"	"A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing. (source : NCI)"	"experiment|experimental study|experimental research"
"experiment"	3.85	"SYN"	"http://bioportal.bioontology.org/ontologies/SYN"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Experiment"	"N/A"	"N/A"	"N/A"
"experiment"	3.57	"NIFSTD"	"http://bioportal.bioontology.org/ontologies/NIFSTD"	"http://ontology.neuinfo.org/NIF/DigitalEntities/NIF-Investigation.owl#birnlex_2117"	"N/A"	"N/A"	"N/A"
"experiment"	2.63	"EFO"	"http://bioportal.bioontology.org/ontologies/EFO"	"http://www.ebi.ac.uk/efo/EFO_0002694"	"N/A"	"A process performed as part of an experiment or wider study, i.e. intentionally designed."	"Experiment"
"nanoparticle"	6.1	"NPO"	"http://bioportal.bioontology.org/ontologies/NPO"	"http://purl.bioontology.org/ontology/npo#NPO_707"	"N/A"	"<ncicp:ComplexDefinition xmlns:ncicp=\"http://ncicb.nci.nih.gov/xml/owl/EVS/ComplexProperties.xsd#\"><ncicp:def-definition>A primary particle which has an average size in the nanoscale range; which has an identifiable and definite chemical composition, property or function that uniquely define the nanoparticle's type as known; and, which may or may not exhibit a size-intensive property.</ncicp:def-definition></ncicp:ComplexDefinition>"	"N/A"
"nanoparticle"	5.77	"HUPSON"	"http://bioportal.bioontology.org/ontologies/HUPSON"	"http://purl.obolibrary.org/obo/CHEBI_50803"	"N/A"	"A nanosized spherical or capsule-shaped structure.source: http://purl.obolibrary.org/obo/CHEBI_50803"	"NPs|Nanoparticles"
"nanoparticle"	5.57	"MESH"	"http://bioportal.bioontology.org/ontologies/MESH"	"http://purl.bioontology.org/ontology/MESH/D053758"	"D053758"	"Any crystalline structure possessing dimensions measured in terms of nanometers.|Nanometer-sized particles that are nanoscale in three dimensions. They include nanocrystaline materials; NANOCAPSULES; METAL NANOPARTICLES; DENDRIMERS, and QUANTUM DOTS. The uses of nanoparticles include DRUG DELIVERY SYSTEMS and cancer targeting and imaging."	"Nanocrystal|Nanocrystalline Materials|Material, Nanocrystalline|Nanocrystals|Nanocrystalline Material|Materials, Nanocrystalline|Nanoparticle"
"nanoparticle"	3.86	"CHEBI"	"http://bioportal.bioontology.org/ontologies/CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_50803"	"CHEBI:50803"	"N/A"	"N/A"
"nanoparticle"	3.79	"BIOMODELS"	"http://bioportal.bioontology.org/ontologies/BIOMODELS"	"http://purl.obolibrary.org/obo/CHEBI_50803"	"N/A"	"N/A"	"N/A"
